layer,U_PU_pragmatic,U_I_pragmatic,U_PU_literal,U_I_literal,U_PU_primacy,U_I_primacy,U_PU_recency,U_I_recency
0,0.8879600762465717,0.7872855743004822,0.8539352483946864,0.7767849554035422,0.5765745729198133,0.41686226372146956,0.8388486404434871,0.7356146107920077
1,0.9052326902724129,0.7948723846592554,0.8409202519752276,0.7637111125183484,0.6119504602618575,0.42785217180649243,0.8214201267483204,0.6978434671839014
2,0.9125858879564085,0.785308516155728,0.8413334205665927,0.7435443310150646,0.6197576335501268,0.4460619728152323,0.8391554416653269,0.7013821002790688
3,0.9191033790565406,0.8106250390607774,0.8565218313647944,0.7713189029440564,0.6379190195643888,0.4717852836912949,0.8485047959375588,0.7280846086536299
4,0.9294358606062029,0.8129004542653446,0.8735373105606908,0.7902399829522458,0.6633652535452017,0.4404099151025481,0.8643226327190704,0.7338262648336735
5,0.9281547195657375,0.8450190182574169,0.899666846025653,0.8212457446635938,0.7065454322634581,0.4704049339762861,0.8891600759974196,0.7582189059674003
6,0.9378079755382439,0.8634748937440754,0.9129311420386411,0.8473399685992874,0.7323475552617318,0.5024913702814116,0.8937511442427588,0.7771841666594692
7,0.9489238811195829,0.8741896481914191,0.9105500650098234,0.8434382372847075,0.7432638189483376,0.5007475116079911,0.8896442565471482,0.7659584003489355
8,0.9449154126097055,0.8523664049336956,0.9014115497745734,0.8189785423368084,0.7246565059617583,0.44244863514585075,0.8825409192838537,0.7317128929960501
9,0.9505163475131885,0.8249062937626986,0.9005932566456282,0.8007005645050569,0.7141113760492481,0.4237376348836803,0.8722132198217087,0.707289266034701
10,0.950298996491984,0.8182001166848011,0.8992054950513154,0.8084111159147241,0.7218772511371985,0.42805703747375684,0.8759120167036011,0.7081446140494514
11,0.9472540000569087,0.8398790272008665,0.9090072383994596,0.8256234798807837,0.7334596124076326,0.4744973786784864,0.8789022069731365,0.7331719788806476
12,0.9494958343994402,0.84437039712274,0.9135684792869865,0.8383079910166669,0.732904572732312,0.49478140947383176,0.8743376976359746,0.7466363945281878
13,0.951902433751484,0.8363894180778673,0.9095661088028579,0.8380555923610911,0.7363600408516039,0.49664514115690955,0.8753197014539729,0.7386637548181583
14,0.9498223613807086,0.8304706044800992,0.9131757175450141,0.8479057886575639,0.745040617408797,0.501008954287838,0.8776472053942926,0.7463072002065205
15,0.9634049964376656,0.8832364233204476,0.9385272443993904,0.905205862510036,0.7956403661654444,0.6571672342022373,0.910108206112652,0.8391271592430508
16,0.9562879129569626,0.8686666839288991,0.9325687084081967,0.8949850495541815,0.7858892441517036,0.6387892850750111,0.9052524301780237,0.8149909018808986
17,0.9602709565974229,0.8863584675140406,0.9328992952678343,0.8882720081990378,0.7835557795766235,0.6181382844313703,0.9013429699977318,0.8083455196495916
18,0.9574684133483647,0.8854138270125825,0.9299160794022407,0.8710152358327716,0.7670550697877512,0.588957714828091,0.8983991635240556,0.798126099431039
19,0.9502455172895706,0.8959381746849332,0.9297871391440179,0.8799799710125351,0.7675558394398865,0.6140779382291559,0.899970087608011,0.8066248581218058
20,0.9486986406051231,0.9016329297239267,0.9305623152278825,0.8836236420253648,0.7677163069228912,0.6467622600232098,0.8909173394545035,0.807575288519422
21,0.9409822994485335,0.9019089492275477,0.9223716532371417,0.885910860936992,0.779322162707257,0.6613857296722848,0.8877105171654419,0.8190989152341996
22,0.9391874386021049,0.9016482609961195,0.9135301631841808,0.89506919824252,0.7780935025130284,0.6905070077313473,0.8820461299181054,0.8229123452691248
23,0.9355204379739797,0.8913246561621296,0.9112495224329656,0.8893182871346906,0.7812519799123467,0.6915228320219194,0.8657327982193197,0.8207648590860861
24,0.892848759901869,0.874495533507702,0.8823080189156026,0.837327541833044,0.7181185204321598,0.6084448075832722,0.8212091657877455,0.772227395113462
